h_idnumber,sum_head,sum_spouse,hsex,spsex,hyrbirth,heduc,spyrbirth,speduc,P1_2a,J4_1a,J5_3a,R2_1,Q2_5a,Q2_5b,Q4_1a,Q4_2a,Q4_3a,Q4_1b,Q4_2b,Q4_3b,S_1a,S_1b,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,class_mig
1_287_2594,11,8,Female,Male,1992,Class VI-IX (Incomplete SE),1985,Class V (Complete PE),0,No,10,Yes,No,No,Never,Never,Never,Never,Yes,Never,Some what,Some what,Increased,Increased,Increased,No change,No change,migrant
1_287_2594,11,8,Female,Male,1992,Class VI-IX (Incomplete SE),1985,Class V (Complete PE),0,No,10,Yes,No,No,Never,Never,Never,Never,Yes,Never,Some what,Some what,Increased,Increased,Increased,No change,No change,migrant
1_287_2594,11,8,Female,Male,1992,Class VI-IX (Incomplete SE),1985,Class V (Complete PE),0,No,10,Yes,No,No,Never,Never,Never,Never,Yes,Never,Some what,Some what,Increased,Increased,Increased,No change,No change,migrant
1_287_2594,11,8,Female,Male,1992,Class VI-IX (Incomplete SE),1985,Class V (Complete PE),0,No,10,Yes,No,No,Never,Never,Never,Never,Yes,Never,Some what,Some what,Increased,Increased,Increased,No change,No change,migrant
1_287_2596,11,NA,Female,NA,1982,Class I-IV (Incomplete PE),NA,NA,0,No,5,Yes,Yes,NA,Only one or two months,Only one or two months,Only one or two months,NA,NA,NA,Very much,NA,Increased,Decreased,Increased,Decreased,Increased,migrant
1_287_2597,6,9,Female,Male,1964,No Schooling,1954,Class V (Complete PE),90,No,30,No,No,Yes,Never,Only one or two months,Never,Only one or two months,Yes,Only one or two months,Not at all,Not at all,Increased,Decreased,Decreased,Increased,Increased,migrant
1_287_2597,6,9,Female,Male,1964,No Schooling,1954,Class V (Complete PE),90,No,30,No,No,Yes,Never,Only one or two months,Never,Only one or two months,Yes,Only one or two months,Not at all,Not at all,Increased,Decreased,Decreased,Increased,Increased,migrant
1_287_2598,7,NA,Male,Female,1978,HSC (complete HSE),1980,SSC (Complete SE),0,Yes,1,No,No,NA,Never,Never,Never,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Increased,Increased,migrant
1_287_2598,7,NA,Male,Female,1978,HSC (complete HSE),1980,SSC (Complete SE),0,Yes,1,No,No,NA,Never,Never,Never,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Increased,Increased,migrant
1_287_2600,12,5,Female,Male,1980,Class I-IV (Incomplete PE),1962,Class VI-IX (Incomplete SE),62,No,1,Yes,Yes,Yes,Never,Almost every month,Only one or two months,Never,No,Never,Some what,Some what,Increased,Decreased,Decreased,Increased,Increased,migrant
1_287_2600,12,5,Female,Male,1980,Class I-IV (Incomplete PE),1962,Class VI-IX (Incomplete SE),62,No,1,Yes,Yes,Yes,Never,Almost every month,Only one or two months,Never,No,Never,Some what,Some what,Increased,Decreased,Decreased,Increased,Increased,migrant
1_287_2601,10,10,Female,Male,1980,Class V (Complete PE),1976,SSC (Complete SE),0,No,5,No,No,No,Never,Only one or two months,Never,Never,No,Never,Some what,Some what,Increased,No change,No change,Increased,Increased,migrant
1_287_2601,10,10,Female,Male,1980,Class V (Complete PE),1976,SSC (Complete SE),0,No,5,No,No,No,Never,Only one or two months,Never,Never,No,Never,Some what,Some what,Increased,No change,No change,Increased,Increased,migrant
1_287_2602,5,12,Female,Male,1978,Class V (Complete PE),1976,No Schooling,0,No,5,Yes,Yes,Yes,Never,Never,Never,Never,Yes,Never,Some what,Some what,Increased,No change,No change,Increased,Increased,migrant
1_287_2602,5,12,Female,Male,1978,Class V (Complete PE),1976,No Schooling,0,No,5,Yes,Yes,Yes,Never,Never,Never,Never,Yes,Never,Some what,Some what,Increased,No change,No change,Increased,Increased,migrant
1_287_2603,14,14,Female,Male,1969,Class I-IV (Incomplete PE),1959,Class VI-IX (Incomplete SE),0,No,1,Yes,No,No,Some months but not every month,Some months but not every month,Some months but not every month,Some months but not every month,Yes,Some months but not every month,Some what,Some what,Increased,Increased,Increased,No change,Decreased,migrant
1_287_2603,14,14,Female,Male,1969,Class I-IV (Incomplete PE),1959,Class VI-IX (Incomplete SE),0,No,1,Yes,No,No,Some months but not every month,Some months but not every month,Some months but not every month,Some months but not every month,Yes,Some months but not every month,Some what,Some what,Increased,Increased,Increased,No change,Decreased,migrant
1_287_2604,12,3,Female,Male,1982,Class I-IV (Incomplete PE),1972,Class I-IV (Incomplete PE),0,No,0,No,Yes,No,Only one or two months,Only one or two months,Never,Only one or two months,No,Never,Some what,Some what,Increased,Decreased,Decreased,Increased,Increased,migrant
1_287_2604,12,3,Female,Male,1982,Class I-IV (Incomplete PE),1972,Class I-IV (Incomplete PE),0,No,0,No,Yes,No,Only one or two months,Only one or two months,Never,Only one or two months,No,Never,Some what,Some what,Increased,Decreased,Decreased,Increased,Increased,migrant
1_287_2606,0,NA,Female,Male,1959,Class I-IV (Incomplete PE),1954,SSC (Complete SE),0,No,5,No,No,No,Never,Never,Never,NA,NA,NA,Some what,NA,No change,No change,No change,No change,No change,migrant
1_287_2606,0,NA,Female,Male,1959,Class I-IV (Incomplete PE),1954,SSC (Complete SE),0,No,5,No,No,No,Never,Never,Never,NA,NA,NA,Some what,NA,No change,No change,No change,No change,No change,migrant
1_287_2722,2,NA,Male,Female,1983,SSC (Complete SE),1993,Class VI-IX (Incomplete SE),0,Yes,0,No,No,No,Never,Some months but not every month,Only one or two months,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Decreased,Increased,migrant
1_287_2722,2,NA,Male,Female,1983,SSC (Complete SE),1993,Class VI-IX (Incomplete SE),0,Yes,0,No,No,No,Never,Some months but not every month,Only one or two months,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Decreased,Increased,migrant
1_287_2722,2,NA,Male,Female,1983,SSC (Complete SE),1993,Class VI-IX (Incomplete SE),0,Yes,0,No,No,No,Never,Some months but not every month,Only one or two months,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Decreased,Increased,migrant
1_287_2722,2,NA,Male,Female,1983,SSC (Complete SE),1993,Class VI-IX (Incomplete SE),0,Yes,0,No,No,No,Never,Some months but not every month,Only one or two months,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Decreased,Increased,migrant
1_287_2820,9,NA,Male,NA,1986,Class VI-IX (Incomplete SE),NA,NA,0,Yes,0,No,No,NA,Never,Some months but not every month,Some months but not every month,NA,NA,NA,Very much,NA,Increased,Decreased,Decreased,Decreased,Increased,migrant
1_287_2821,5,3,Male,Female,1968,College (11 and 12 grades),1982,Class VI-IX (Incomplete SE),0,Yes,0,No,No,No,Only one or two months,Some months but not every month,Some months but not every month,Never,Yes,Only one or two months,Some what,Some what,Increased,Decreased,Decreased,Decreased,Increased,migrant
1_287_2821,5,3,Male,Female,1968,College (11 and 12 grades),1982,Class VI-IX (Incomplete SE),0,Yes,0,No,No,No,Only one or two months,Some months but not every month,Some months but not every month,Never,Yes,Only one or two months,Some what,Some what,Increased,Decreased,Decreased,Decreased,Increased,migrant
1_287_2821,5,3,Male,Female,1968,College (11 and 12 grades),1982,Class VI-IX (Incomplete SE),0,Yes,0,No,No,No,Only one or two months,Some months but not every month,Some months but not every month,Never,Yes,Only one or two months,Some what,Some what,Increased,Decreased,Decreased,Decreased,Increased,migrant
1_287_2823,6,NA,Male,Female,1992,Class V (Complete PE),1996,Class V (Complete PE),0,Yes,0,No,No,NA,Never,Never,Some months but not every month,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Decreased,Increased,migrant
1_287_2823,6,NA,Male,Female,1992,Class V (Complete PE),1996,Class V (Complete PE),0,Yes,0,No,No,NA,Never,Never,Some months but not every month,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Decreased,Increased,migrant
1_287_2824,0,2,Male,Female,1984,Class VI-IX (Incomplete SE),1990,Class VI-IX (Incomplete SE),0,Yes,0,No,No,No,Some months but not every month,Some months but not every month,Some months but not every month,Never,Yes,Never,Some what,Some what,Increased,Decreased,Decreased,Decreased,Increased,migrant
1_287_2824,0,2,Male,Female,1984,Class VI-IX (Incomplete SE),1990,Class VI-IX (Incomplete SE),0,Yes,0,No,No,No,Some months but not every month,Some months but not every month,Some months but not every month,Never,Yes,Never,Some what,Some what,Increased,Decreased,Decreased,Decreased,Increased,migrant
1_287_2825,8,NA,Female,NA,1997,Class VI-IX (Incomplete SE),NA,NA,0,Yes,0,No,Yes,NA,Some months but not every month,Almost every month,Never,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Increased,Increased,migrant
1_287_2828,2,NA,Male,Female,1960,SSC (Complete SE),1974,Class VI-IX (Incomplete SE),0,Yes,0,No,No,NA,Only one or two months,Only one or two months,Only one or two months,NA,NA,NA,Some what,NA,Increased,Increased,Increased,Increased,Increased,migrant
1_287_2828,2,NA,Male,Female,1960,SSC (Complete SE),1974,Class VI-IX (Incomplete SE),0,Yes,0,No,No,NA,Only one or two months,Only one or two months,Only one or two months,NA,NA,NA,Some what,NA,Increased,Increased,Increased,Increased,Increased,migrant
1_522_2503,0,6,Male,Female,1984,Class VI-IX (Incomplete SE),1996,Class VI-IX (Incomplete SE),0,No,5,No,No,No,Only one or two months,Only one or two months,Only one or two months,Only one or two months,Yes,Only one or two months,Very much,Very much,Increased,Increased,Increased,Decreased,Increased,migrant
1_522_2503,0,6,Male,Female,1984,Class VI-IX (Incomplete SE),1996,Class VI-IX (Incomplete SE),0,No,5,No,No,No,Only one or two months,Only one or two months,Only one or two months,Only one or two months,Yes,Only one or two months,Very much,Very much,Increased,Increased,Increased,Decreased,Increased,migrant
1_522_2504,10,NA,Female,Male,1977,Class I-IV (Incomplete PE),1972,No Schooling,0,No,5,No,Yes,No,Some months but not every month,Some months but not every month,Only one or two months,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Increased,Increased,migrant
1_522_2504,10,NA,Female,Male,1977,Class I-IV (Incomplete PE),1972,No Schooling,0,No,5,No,Yes,No,Some months but not every month,Some months but not every month,Only one or two months,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Increased,Increased,migrant
1_522_2505,14,NA,Female,Male,1982,Class V (Complete PE),1980,Class I-IV (Incomplete PE),0,No,0,Yes,Yes,Yes,Only one or two months,Only one or two months,Only one or two months,NA,NA,NA,Some what,NA,Increased,Decreased,Increased,Increased,Increased,migrant
1_522_2505,14,NA,Female,Male,1982,Class V (Complete PE),1980,Class I-IV (Incomplete PE),0,No,0,Yes,Yes,Yes,Only one or two months,Only one or two months,Only one or two months,NA,NA,NA,Some what,NA,Increased,Decreased,Increased,Increased,Increased,migrant
1_522_2507,5,1,Female,Male,1988,Class VI-IX (Incomplete SE),1979,Class VI-IX (Incomplete SE),0,No,3,No,Yes,No,Only one or two months,Only one or two months,Only one or two months,Only one or two months,No,Only one or two months,Some what,Some what,Increased,Decreased,Increased,Decreased,Increased,migrant
1_522_2507,5,1,Female,Male,1988,Class VI-IX (Incomplete SE),1979,Class VI-IX (Incomplete SE),0,No,3,No,Yes,No,Only one or two months,Only one or two months,Only one or two months,Only one or two months,No,Only one or two months,Some what,Some what,Increased,Decreased,Increased,Decreased,Increased,migrant
1_522_2509,4,4,Male,Female,1988,Class V (Complete PE),1991,Class VI-IX (Incomplete SE),0,Yes,0,No,No,No,Only one or two months,Only one or two months,Only one or two months,Only one or two months,Yes,Only one or two months,Some what,Some what,Increased,Decreased,Decreased,Decreased,Increased,migrant
1_522_2509,4,4,Male,Female,1988,Class V (Complete PE),1991,Class VI-IX (Incomplete SE),0,Yes,0,No,No,No,Only one or two months,Only one or two months,Only one or two months,Only one or two months,Yes,Only one or two months,Some what,Some what,Increased,Decreased,Decreased,Decreased,Increased,migrant
1_522_2509,4,4,Male,Female,1988,Class V (Complete PE),1991,Class VI-IX (Incomplete SE),0,Yes,0,No,No,No,Only one or two months,Only one or two months,Only one or two months,Only one or two months,Yes,Only one or two months,Some what,Some what,Increased,Decreased,Decreased,Decreased,Increased,migrant
1_522_2509,4,4,Male,Female,1988,Class V (Complete PE),1991,Class VI-IX (Incomplete SE),0,Yes,0,No,No,No,Only one or two months,Only one or two months,Only one or two months,Only one or two months,Yes,Only one or two months,Some what,Some what,Increased,Decreased,Decreased,Decreased,Increased,migrant
1_522_2510,5,NA,Male,NA,1993,University level,NA,NA,0,No,0,No,Yes,NA,Never,Only one or two months,Only one or two months,NA,NA,NA,Very much,NA,Increased,Decreased,Increased,Increased,Increased,migrant
1_522_2511,3,3,Male,Female,1974,Class VI-IX (Incomplete SE),1982,SSC (Complete SE),0,Yes,5,No,No,No,Only one or two months,Only one or two months,Almost every month,Never,No,Only one or two months,Some what,Some what,Increased,Decreased,Decreased,Increased,Increased,migrant
1_522_2511,3,3,Male,Female,1974,Class VI-IX (Incomplete SE),1982,SSC (Complete SE),0,Yes,5,No,No,No,Only one or two months,Only one or two months,Almost every month,Never,No,Only one or two months,Some what,Some what,Increased,Decreased,Decreased,Increased,Increased,migrant
1_522_2511,3,3,Male,Female,1974,Class VI-IX (Incomplete SE),1982,SSC (Complete SE),0,Yes,5,No,No,No,Only one or two months,Only one or two months,Almost every month,Never,No,Only one or two months,Some what,Some what,Increased,Decreased,Decreased,Increased,Increased,migrant
1_522_2511,3,3,Male,Female,1974,Class VI-IX (Incomplete SE),1982,SSC (Complete SE),0,Yes,5,No,No,No,Only one or two months,Only one or two months,Almost every month,Never,No,Only one or two months,Some what,Some what,Increased,Decreased,Decreased,Increased,Increased,migrant
1_522_2511,3,3,Male,Female,1974,Class VI-IX (Incomplete SE),1982,SSC (Complete SE),0,Yes,5,No,No,No,Only one or two months,Only one or two months,Almost every month,Never,No,Only one or two months,Some what,Some what,Increased,Decreased,Decreased,Increased,Increased,migrant
1_522_2511,3,3,Male,Female,1974,Class VI-IX (Incomplete SE),1982,SSC (Complete SE),0,Yes,5,No,No,No,Only one or two months,Only one or two months,Almost every month,Never,No,Only one or two months,Some what,Some what,Increased,Decreased,Decreased,Increased,Increased,migrant
1_522_2566,6,14,Male,Female,1939,Class VI-IX (Incomplete SE),1952,Class V (Complete PE),0,No,2,Yes,Yes,Yes,Never,Almost every month,Some months but not every month,Never,No,Never,Some what,Very much,Increased,Decreased,Decreased,Increased,Increased,migrant
1_522_2566,6,14,Male,Female,1939,Class VI-IX (Incomplete SE),1952,Class V (Complete PE),0,No,2,Yes,Yes,Yes,Never,Almost every month,Some months but not every month,Never,No,Never,Some what,Very much,Increased,Decreased,Decreased,Increased,Increased,migrant
1_522_2566,6,14,Male,Female,1939,Class VI-IX (Incomplete SE),1952,Class V (Complete PE),0,No,2,Yes,Yes,Yes,Never,Almost every month,Some months but not every month,Never,No,Never,Some what,Very much,Increased,Decreased,Decreased,Increased,Increased,migrant
1_522_2567,3,3,Male,Female,1974,University level,1979,Class VI-IX (Incomplete SE),0,No,2,No,No,No,Never,Never,Never,Never,No,Never,Some what,Some what,Decreased,Decreased,Decreased,Decreased,Increased,migrant
1_522_2567,3,3,Male,Female,1974,University level,1979,Class VI-IX (Incomplete SE),0,No,2,No,No,No,Never,Never,Never,Never,No,Never,Some what,Some what,Decreased,Decreased,Decreased,Decreased,Increased,migrant
1_522_2567,3,3,Male,Female,1974,University level,1979,Class VI-IX (Incomplete SE),0,No,2,No,No,No,Never,Never,Never,Never,No,Never,Some what,Some what,Decreased,Decreased,Decreased,Decreased,Increased,migrant
1_522_2567,3,3,Male,Female,1974,University level,1979,Class VI-IX (Incomplete SE),0,No,2,No,No,No,Never,Never,Never,Never,No,Never,Some what,Some what,Decreased,Decreased,Decreased,Decreased,Increased,migrant
1_522_2572,7,12,Male,Female,1952,No Schooling,1976,No Schooling,0,No,0,Yes,No,No,Only one or two months,Never,Some months but not every month,Never,Yes,Some months but not every month,Some what,Some what,Increased,Decreased,Decreased,Increased,Increased,migrant
1_522_2572,7,12,Male,Female,1952,No Schooling,1976,No Schooling,0,No,0,Yes,No,No,Only one or two months,Never,Some months but not every month,Never,Yes,Some months but not every month,Some what,Some what,Increased,Decreased,Decreased,Increased,Increased,migrant
1_522_2574,11,13,Male,Female,1971,Class I-IV (Incomplete PE),1981,Class I-IV (Incomplete PE),0,No,0,Yes,Yes,Yes,Some months but not every month,Some months but not every month,Only one or two months,Some months but not every month,Yes,Some months but not every month,Some what,Some what,Increased,Decreased,Decreased,Decreased,Increased,migrant
1_522_2574,11,13,Male,Female,1971,Class I-IV (Incomplete PE),1981,Class I-IV (Incomplete PE),0,No,0,Yes,Yes,Yes,Some months but not every month,Some months but not every month,Only one or two months,Some months but not every month,Yes,Some months but not every month,Some what,Some what,Increased,Decreased,Decreased,Decreased,Increased,migrant
1_522_2574,11,13,Male,Female,1971,Class I-IV (Incomplete PE),1981,Class I-IV (Incomplete PE),0,No,0,Yes,Yes,Yes,Some months but not every month,Some months but not every month,Only one or two months,Some months but not every month,Yes,Some months but not every month,Some what,Some what,Increased,Decreased,Decreased,Decreased,Increased,migrant
1_522_2575,10,2,Female,Male,1978,No Schooling,1969,No Schooling,0,No,7,No,No,No,Only one or two months,Some months but not every month,Never,Only one or two months,No,Only one or two months,Some what,Not at all,Increased,Decreased,Decreased,Decreased,Increased,migrant
1_522_2575,10,2,Female,Male,1978,No Schooling,1969,No Schooling,0,No,7,No,No,No,Only one or two months,Some months but not every month,Never,Only one or two months,No,Only one or two months,Some what,Not at all,Increased,Decreased,Decreased,Decreased,Increased,migrant
1_522_2619,1,NA,Male,NA,1991,SSC (Complete SE),NA,NA,0,Yes,0,No,No,NA,Never,Never,Never,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Decreased,Increased,migrant
1_522_2620,3,8,Male,Male,1982,Class I-IV (Incomplete PE),1982,Class VI-IX (Incomplete SE),0,No,0,No,No,No,Only one or two months,Only one or two months,Only one or two months,Only one or two months,Yes,Some months but not every month,Some what,Some what,Increased,Decreased,Decreased,Decreased,Increased,migrant
1_522_2620,3,8,Male,Male,1982,Class I-IV (Incomplete PE),1982,Class VI-IX (Incomplete SE),0,No,0,No,No,No,Only one or two months,Only one or two months,Only one or two months,Only one or two months,Yes,Some months but not every month,Some what,Some what,Increased,Decreased,Decreased,Decreased,Increased,migrant
1_522_2622,8,5,Female,Male,1972,No Schooling,1970,Class VI-IX (Incomplete SE),0,Yes,0,No,Yes,Yes,Almost every month,Some months but not every month,Some months but not every month,Almost every month,No,Some months but not every month,Some what,Some what,Increased,Decreased,Decreased,Decreased,Increased,migrant
1_522_2622,8,5,Female,Male,1972,No Schooling,1970,Class VI-IX (Incomplete SE),0,Yes,0,No,Yes,Yes,Almost every month,Some months but not every month,Some months but not every month,Almost every month,No,Some months but not every month,Some what,Some what,Increased,Decreased,Decreased,Decreased,Increased,migrant
1_522_2623,1,NA,Male,NA,1992,SSC (Complete SE),NA,NA,0,No,0,No,No,NA,Never,Never,Never,NA,NA,NA,Not at all,NA,Increased,Decreased,Decreased,Decreased,Increased,migrant
1_522_2624,0,NA,Male,NA,1994,Class I-IV (Incomplete PE),NA,NA,0,No,0,No,No,NA,Never,Only one or two months,Some months but not every month,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Decreased,Decreased,migrant
1_522_2626,4,6,Male,Female,1988,HSC (complete HSE),1993,Class VI-IX (Incomplete SE),0,No,0,No,No,No,Never,Never,Some months but not every month,Never,No,Never,Some what,Some what,Increased,Decreased,Decreased,Increased,Increased,migrant
1_522_2626,4,6,Male,Female,1988,HSC (complete HSE),1993,Class VI-IX (Incomplete SE),0,No,0,No,No,No,Never,Never,Some months but not every month,Never,No,Never,Some what,Some what,Increased,Decreased,Decreased,Increased,Increased,migrant
1_522_2626,4,6,Male,Female,1988,HSC (complete HSE),1993,Class VI-IX (Incomplete SE),0,No,0,No,No,No,Never,Never,Some months but not every month,Never,No,Never,Some what,Some what,Increased,Decreased,Decreased,Increased,Increased,migrant
1_522_2627,2,10,Male,Female,1980,Class I-IV (Incomplete PE),1989,Class VI-IX (Incomplete SE),0,Yes,0,No,No,No,Some months but not every month,Some months but not every month,Only one or two months,Never,Yes,Never,Some what,Not at all,Increased,Decreased,Decreased,Decreased,Increased,migrant
1_522_2627,2,10,Male,Female,1980,Class I-IV (Incomplete PE),1989,Class VI-IX (Incomplete SE),0,Yes,0,No,No,No,Some months but not every month,Some months but not every month,Only one or two months,Never,Yes,Never,Some what,Not at all,Increased,Decreased,Decreased,Decreased,Increased,migrant
1_522_2628,5,NA,Male,NA,1988,Class I-IV (Incomplete PE),NA,NA,0,Yes,0,No,No,NA,Some months but not every month,Almost every month,Some months but not every month,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Decreased,Increased,migrant
1_522_2628,5,NA,Male,NA,1988,Class I-IV (Incomplete PE),NA,NA,0,Yes,0,No,No,NA,Some months but not every month,Almost every month,Some months but not every month,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Decreased,Increased,migrant
1_522_2628,5,NA,Male,NA,1988,Class I-IV (Incomplete PE),NA,NA,0,Yes,0,No,No,NA,Some months but not every month,Almost every month,Some months but not every month,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Decreased,Increased,migrant
1_522_2629,1,NA,Male,Female,1981,No Schooling,1990,Class VI-IX (Incomplete SE),0,Yes,0,No,No,NA,Never,Never,Never,NA,NA,NA,Not at all,NA,Increased,Decreased,Decreased,Decreased,Increased,migrant
1_522_2629,1,NA,Male,Female,1981,No Schooling,1990,Class VI-IX (Incomplete SE),0,Yes,0,No,No,NA,Never,Never,Never,NA,NA,NA,Not at all,NA,Increased,Decreased,Decreased,Decreased,Increased,migrant
1_522_2630,2,NA,Male,NA,1992,Class VI-IX (Incomplete SE),NA,NA,0,Yes,0,No,Yes,NA,Only one or two months,Some months but not every month,Almost every month,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Decreased,Increased,migrant
1_522_2631,6,3,Male,Female,1974,Class I-IV (Incomplete PE),1980,Class I-IV (Incomplete PE),0,Yes,0,No,Yes,Yes,Almost every month,Almost every month,Almost every month,Some months but not every month,No,Only one or two months,Not at all,Some what,Increased,Decreased,Decreased,Increased,Increased,migrant
1_522_2631,6,3,Male,Female,1974,Class I-IV (Incomplete PE),1980,Class I-IV (Incomplete PE),0,Yes,0,No,Yes,Yes,Almost every month,Almost every month,Almost every month,Some months but not every month,No,Only one or two months,Not at all,Some what,Increased,Decreased,Decreased,Increased,Increased,migrant
1_522_2632,5,NA,Male,NA,1984,Class VI-IX (Incomplete SE),NA,NA,0,Yes,0,No,No,NA,Never,Almost every month,Some months but not every month,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Increased,Increased,migrant
1_522_2632,5,NA,Male,NA,1984,Class VI-IX (Incomplete SE),NA,NA,0,Yes,0,No,No,NA,Never,Almost every month,Some months but not every month,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Increased,Increased,migrant
1_522_2771,5,NA,Male,NA,1991,Class I-IV (Incomplete PE),NA,NA,0,Yes,0,No,Yes,NA,Never,Some months but not every month,Only one or two months,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Decreased,Increased,migrant
1_522_2772,0,NA,Male,NA,1994,Class I-IV (Incomplete PE),NA,NA,0,Yes,0,No,No,NA,Never,Some months but not every month,Only one or two months,NA,NA,NA,Very much,NA,Increased,No change,No change,Increased,Increased,migrant
1_522_2785,0,NA,Male,Female,1982,HSC (complete HSE),1987,SSC (Complete SE),0,Yes,0,No,No,NA,Some months but not every month,Some months but not every month,Only one or two months,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Decreased,Increased,migrant
1_522_2785,0,NA,Male,Female,1982,HSC (complete HSE),1987,SSC (Complete SE),0,Yes,0,No,No,NA,Some months but not every month,Some months but not every month,Only one or two months,NA,NA,NA,Some what,NA,Increased,Decreased,Decreased,Decreased,Increased,migrant
2_216_2517,2,NA,Male,NA,1990,Class VI-IX (Incomplete SE),NA,NA,0,Yes,0,No,No,NA,Never,Never,Only one or two months,NA,NA,NA,Not at all,NA,Increased,Decreased,Decreased,Increased,Increased,migrant
2_216_2518,3,NA,Male,NA,1996,College (11 and 12 grades),NA,NA,0,No,2,No,No,NA,Only one or two months,Only one or two months,Only one or two months,NA,NA,NA,Some what,NA,Increased,Increased,Increased,Decreased,Increased,migrant
2_216_2523,2,NA,Male,NA,1994,University level,NA,NA,0,No,1,No,No,NA,Only one or two months,Only one or two months,Only one or two months,NA,NA,NA,Very much,NA,Increased,Decreased,Decreased,Decreased,Increased,migrant
2_216_2581,2,NA,Male,NA,1992,HSC (complete HSE),NA,NA,0,No,0,No,No,NA,Some months but not every month,Never,Only one or two months,NA,NA,NA,Not at all,NA,Increased,Decreased,Decreased,No change,Increased,migrant
2_216_2583,8,NA,Male,Female,1988,University level,1994,College (11 and 12 grades),0,Yes,0,No,No,No,Only one or two months,Only one or two months,Only one or two months,NA,NA,NA,Some what,NA,Increased,Decreased,No change,Increased,Increased,migrant
2_216_2583,8,NA,Male,Female,1988,University level,1994,College (11 and 12 grades),0,Yes,0,No,No,No,Only one or two months,Only one or two months,Only one or two months,NA,NA,NA,Some what,NA,Increased,Decreased,No change,Increased,Increased,migrant
