Tab,Q,SQ,SSQ,SSSQ,Question,Class,Unit,Repetitive,Tab_Name,Question_Text,SPSS_header,Short_Question,Likert_Affect_Direction,Answer_Labels,Answer_Numbers,MAR_Cross_Reference
A,14,,,,A.14,Categorical ,,TRUE,Information about the household members ,Household: Livelihood/occupation,A14,Household: Livelihood/occupation,,"c(""Land Owner"", ""Farmer/Fishmonger/Fish Cultivator"", ""Agricultural worker"", ""Fisherman"", ""Poultry/cattle raising"", ""Home based manufacturing (handicrafts, food products)"", ""Rickshaw driver/ Brick breaking/ Road building/Construction worker/boatman/earth work"", ""Domestic servant"", ""Non agricultural worker(factory worker, blue collar service)"", ""Carpenter/massion/bus/taxi driver/construction supervisor/Seamstreses/ tailor/police an/armed services/dai/ community health worker/FWA/similar services"", ""Doctor/lawyer/dentist/accountant/
teacher/nurse/ FWV (family
welfare visitor) /mid & high level
services (Government,
private)/Amanuensis/Clerk"",
""Big businessman"",""Small business/trader"", ""Unemployed/student"", ""Retired"", ""Pensioner"", 
""Homemaker"",  ""Disable/unable to work"", ""Others"", ""Don't know/ not stated"") 
","c(1:19, 9999)",
A,15,1,,,A.15.1,Yes/No,,TRUE,Information about the household members ,Household: Have migration experience?: Internal,A15V1,Household: Have migration experience?: Internal,,,,
A,15,2,,,A.15.2,Yes/No,,TRUE,Information about the household members ,Household: Have migration experience?: India,A15V2,Household: Have migration experience?: India,,,,
A,15,3,,,A.15.3,Yes/No,,TRUE,Information about the household members ,Household: Have migration experience?: Other country,A15V3,Household: Have migration experience?: Other country,,,,
A,15,4,,,A.15.4,Yes/No,,TRUE,Information about the household members ,Household: Have migration experience?: No migration,A15V4,Household: Have migration experience?: No migration,,,,
D1,1,4,,,D1.1.4,Integer,,TRUE,Information about household head and spouse with migratory experience within Bangladesh,"Internal: Total number trips - First, Head/Spouse",D1_4f,"Internal: Total number trips - First, Head/Spouse",,,,
D1,1,6,,,D1.1.6,Text,,TRUE,Information about household head and spouse with migratory experience within Bangladesh,"Internal: Place of destination - First, Head/Spouse",D1_6f,"Internal: Place of destination - First, Head/Spouse",,,,
D1,1,7,,,D1.1.7,Integer,Year,TRUE,Information about household head and spouse with migratory experience within Bangladesh,"Internal: Year of arrival - First, Head/Spouse",D1_7f,"Internal: Year of arrival - First, Head/Spouse",,,,
D1,1,8,,,D1.1.8,Quantitative,,TRUE,Information about household head and spouse with migratory experience within Bangladesh,"Internal: Duration of stay - First, Head/Spouse",D1_8f,"Internal: Duration of stay - First, Head/Spouse",,,,
D1,1,9,,,D1.1.9,Categorical ,,TRUE,Information about household head and spouse with migratory experience within Bangladesh,"Internal: Main livelihood occupation - First, Head/Spouse",D1_9f,"Internal: Main livelihood occupation - First, Head/Spouse",,"c(""Land Owner"", ""Farmer/Fishmonger/Fish Cultivator"", ""Agricultural worker"", ""Fisherman"", ""Poultry/cattle raising"", ""Home based manufacturing (handicrafts, food products)"", ""Rickshaw driver/ Brick breaking/ Road building/Construction worker/boatman/earth work"", ""Domestic servant"", ""Non agricultural worker(factory worker, blue collar service)"", ""Carpenter/massion/bus/taxi driver/construction supervisor/Seamstreses/ tailor/police an/armed services/dai/ community health worker/FWA/similar services"", ""Doctor/lawyer/dentist/accountant/
teacher/nurse/ FWV (family
welfare visitor) /mid & high level
services (Government,
private)/Amanuensis/Clerk"",
""Big businessman"",""Small business/trader"", ""Unemployed/student"", ""Retired"", ""Pensioner"", 
""Homemaker"",  ""Disable/unable to work"", ""Others"", ""Don't know/ not stated"") 
","c(1:19, 9999)",
D1,1,10,1,,D1.1.10.1,Quantitative,Taka,TRUE,Information about household head and spouse with migratory experience within Bangladesh,"Internal: Wage (taka) - First, Head/Spouse",D1_10Af,"Internal: Wage (taka) - First, Head/Spouse",,,,
D1,1,10,2,,D1.1.10.2,Categorical ,,TRUE,Information about household head and spouse with migratory experience within Bangladesh,"Internal: Wage (other wage unit) - First, Head/Spouse",D1_10Bf,"Internal: Wage (other wage unit) - First, Head/Spouse",,"c(""Daily"", ""Weekly"", ""Monthly"", ""Yearly"", ""Other"")",c(1:5),
D1,1,10,3,,D1.1.10.3,Yes/No,,TRUE,Information about household head and spouse with migratory experience within Bangladesh,"Internal: Other (material) - First, Head/Spouse",D1_10Cf,"Internal: Other (material) - First, Head/Spouse",,,,
D1,3,4,,,D1.3.4,Integer,,TRUE,Information about household head and spouse with migratory experience within Bangladesh,"Internal: Total number trips - Last, Head/Spouse",D1_4l,"Internal: Total number trips - Last, Head/Spouse",,,,
D1,3,6,,,D1.3.6,Text,,TRUE,Information about household head and spouse with migratory experience within Bangladesh,"Internal: Place of destination - Last, Head/Spouse",D1_6l,"Internal: Place of destination - Last, Head/Spouse",,,,
D1,3,7,,,D1.3.7,Integer,Year,TRUE,Information about household head and spouse with migratory experience within Bangladesh,"Internal: Year of arrival - Last, Head/Spouse",D1_7l,"Internal: Year of arrival - Last, Head/Spouse",,,,
D1,3,8,,,D1.3.8,Quantitative,,TRUE,Information about household head and spouse with migratory experience within Bangladesh,"Internal: Duration of stay - Last, Head/Spouse",D1_8l,"Internal: Duration of stay - Last, Head/Spouse",,,,
D1,3,9,,,D1.3.9,Categorical ,,TRUE,Information about household head and spouse with migratory experience within Bangladesh,"Internal: Main livelihood occupation - Last, Head/Spouse",D1_9l,"Internal: Main livelihood occupation - Last, Head/Spouse",,"c(""Land Owner"", ""Farmer/Fishmonger/Fish Cultivator"", ""Agricultural worker"", ""Fisherman"", ""Poultry/cattle raising"", ""Home based manufacturing (handicrafts, food products)"", ""Rickshaw driver/ Brick breaking/ Road building/Construction worker/boatman/earth work"", ""Domestic servant"", ""Non agricultural worker(factory worker, blue collar service)"", ""Carpenter/massion/bus/taxi driver/construction supervisor/Seamstreses/ tailor/police an/armed services/dai/ community health worker/FWA/similar services"", ""Doctor/lawyer/dentist/accountant/
teacher/nurse/ FWV (family
welfare visitor) /mid & high level
services (Government,
private)/Amanuensis/Clerk"",
""Big businessman"",""Small business/trader"", ""Unemployed/student"", ""Retired"", ""Pensioner"", 
""Homemaker"",  ""Disable/unable to work"", ""Others"", ""Don't know/ not stated"") 
","c(1:19, 9999)",
D1,3,10,1,,D1.3.10.1,Quantitative,Taka,TRUE,Information about household head and spouse with migratory experience within Bangladesh,"Internal: Wage (taka) - Last, Head/Spouse",D1_10Al,"Internal: Wage (taka) - Last, Head/Spouse",,,,
D1,3,10,2,,D1.3.10.2,Categorical ,,TRUE,Information about household head and spouse with migratory experience within Bangladesh,"Internal: Wage (other wage unit) - Last, Head/Spouse",D1_10Bl,"Internal: Wage (other wage unit) - Last, Head/Spouse",,"c(""Daily"", ""Weekly"", ""Monthly"", ""Yearly"", ""Other"")",c(1:5),
D1,3,10,3,,D1.3.10.3,Yes/No,,TRUE,Information about household head and spouse with migratory experience within Bangladesh,"Internal: Other (material) - Last, Head/Spouse",D1_10Cl,"Internal: Other (material) - Last, Head/Spouse",,,,
D1,2,4,,,D1.2.4,Integer,,TRUE,Information about household head and spouse with migratory experience within Bangladesh,"Internal: Total number trips - 2nd Last, Head/Spouse",D1_4s,"Internal: Total number trips - 2nd Last, Head/Spouse",,,,
D1,2,6,,,D1.2.6,Text,,TRUE,Information about household head and spouse with migratory experience within Bangladesh,"Internal: Place of destination - 2nd Last, Head/Spouse",D1_6s,"Internal: Place of destination - 2nd Last, Head/Spouse",,,,
D1,2,7,,,D1.2.7,Integer,Year,TRUE,Information about household head and spouse with migratory experience within Bangladesh,"Internal: Year of arrival - 2nd Last, Head/Spouse",D1_7s,"Internal: Year of arrival - 2nd Last, Head/Spouse",,,,
D1,2,8,,,D1.2.8,Quantitative,,TRUE,Information about household head and spouse with migratory experience within Bangladesh,"Internal: Duration of stay - 2nd Last, Head/Spouse",D1_8s,"Internal: Duration of stay - 2nd Last, Head/Spouse",,,,
D1,2,9,,,D1.2.9,Categorical ,,TRUE,Information about household head and spouse with migratory experience within Bangladesh,"Internal: Main livelihood occupation - 2nd Last, Head/Spouse",D1_9s,"Internal: Main livelihood occupation - 2nd Last, Head/Spouse",,"c(""Land Owner"", ""Farmer/Fishmonger/Fish Cultivator"", ""Agricultural worker"", ""Fisherman"", ""Poultry/cattle raising"", ""Home based manufacturing (handicrafts, food products)"", ""Rickshaw driver/ Brick breaking/ Road building/Construction worker/boatman/earth work"", ""Domestic servant"", ""Non agricultural worker(factory worker, blue collar service)"", ""Carpenter/massion/bus/taxi driver/construction supervisor/Seamstreses/ tailor/police an/armed services/dai/ community health worker/FWA/similar services"", ""Doctor/lawyer/dentist/accountant/
teacher/nurse/ FWV (family
welfare visitor) /mid & high level
services (Government,
private)/Amanuensis/Clerk"",
""Big businessman"",""Small business/trader"", ""Unemployed/student"", ""Retired"", ""Pensioner"", 
""Homemaker"",  ""Disable/unable to work"", ""Others"", ""Don't know/ not stated"") 
","c(1:19, 9999)",
D1,2,10,1,,D1.2.10.1,Quantitative,Taka,TRUE,Information about household head and spouse with migratory experience within Bangladesh,"Internal: Wage (taka) - 2nd Last, Head/Spouse",D1_10As,"Internal: Wage (taka) - 2nd Last, Head/Spouse",,,,
D1,2,10,2,,D1.2.10.2,Categorical ,,TRUE,Information about household head and spouse with migratory experience within Bangladesh,"Internal: Wage (other wage unit) - 2nd Last, Head/Spouse",D1_10Bs,"Internal: Wage (other wage unit) - 2nd Last, Head/Spouse",,"c(""Daily"", ""Weekly"", ""Monthly"", ""Yearly"", ""Other"")",c(1:5),
D1,2,10,3,,D1.2.10.3,Yes/No,,TRUE,Information about household head and spouse with migratory experience within Bangladesh,"Internal: Other (material) - 2nd Last, Head/Spouse",D1_10Cs,"Internal: Other (material) - 2nd Last, Head/Spouse",,,,
D1C,1,4,,,D1C.1.4,Integer,,TRUE,Information about other household members with migratory experience within Bangladesh,"Internal: Total number trips - First, Other",D1C_4f,"Internal: Total number trips - First, Other",,,,
D1C,1,6,,,D1C.1.6,Text,,TRUE,Information about other household members with migratory experience within Bangladesh,"Internal: Place of destination - First, Other",D1C_6f,"Internal: Place of destination - First, Other",,,,
D1C,1,7,,,D1C.1.7,Integer,Year,TRUE,Information about other household members with migratory experience within Bangladesh,"Internal: Year of arrival - First, Other",D1C_7f,"Internal: Year of arrival - First, Other",,,,
D1C,1,8,,,D1C.1.8,Quantitative,,TRUE,Information about other household members with migratory experience within Bangladesh,"Internal: Duration of stay - First, Other",D1C_8f,"Internal: Duration of stay - First, Other",,,,
D1C,1,9,,,D1C.1.9,Categorical ,,TRUE,Information about other household members with migratory experience within Bangladesh,"Internal: Purpose of trip - First, Other",D1C_9f,"Internal: Purpose of trip - First, Other",,"c(""Work/earn money"", ""Fear of wild animals"", ""Fear for safety/ violence"", ""Oppression"", ""River erosion"", ""Cyclone"", ""Flooding"", ""Other"")",c(1:7),
D1C,1,10,,,D1C.1.10,Categorical ,,TRUE,Information about other household members with migratory experience within Bangladesh,"Internal: Main livelihood occupation - First, Other",D1C_10f,"Internal: Main livelihood occupation - First, Other",,"c(""Land Owner"", ""Farmer/Fishmonger/Fish Cultivator"", ""Agricultural worker"", ""Fisherman"", ""Poultry/cattle raising"", ""Home based manufacturing (handicrafts, food products)"", ""Rickshaw driver/ Brick breaking/ Road building/Construction worker/boatman/earth work"", ""Domestic servant"", ""Non agricultural worker(factory worker, blue collar service)"", ""Carpenter/massion/bus/taxi driver/construction supervisor/Seamstreses/ tailor/police an/armed services/dai/ community health worker/FWA/similar services"", ""Doctor/lawyer/dentist/accountant/
teacher/nurse/ FWV (family
welfare visitor) /mid & high level
services (Government,
private)/Amanuensis/Clerk"",
""Big businessman"",""Small business/trader"", ""Unemployed/student"", ""Retired"", ""Pensioner"", 
""Homemaker"",  ""Disable/unable to work"", ""Others"", ""Don't know/ not stated"") 
","c(1:19, 9999)",
D1C,1,11,1,,D1C.1.11.1,Quantitative,Taka,TRUE,Information about other household members with migratory experience within Bangladesh,"Internal: Wage (taka) - First, Other",D1C_11Af,"Internal: Wage (taka) - First, Other",,,,
D1C,1,11,2,,D1C.1.11.2,Categorical ,,TRUE,Information about other household members with migratory experience within Bangladesh,"Internal: Wage (other wage unit) - First, Other",D1C_11Bf,"Internal: Wage (other wage unit) - First, Other",,"c(""Daily"", ""Weekly"", ""Monthly"", ""Yearly"", ""Other"")",c(1:5),
D1C,1,11,3,,D1C.1.11.3,Yes/No,,TRUE,Information about other household members with migratory experience within Bangladesh,"Internal: Other (material) - First, Other",D1C_11Cf,"Internal: Other (material) - First, Other",,,,
D1C,3,4,,,D1C.3.4,Integer,,TRUE,Information about other household members with migratory experience within Bangladesh,"Internal: Total number trips - Last, Other",D1C_4l,"Internal: Total number trips - Last, Other",,,,
D1C,3,6,,,D1C.3.6,Text,,TRUE,Information about other household members with migratory experience within Bangladesh,"Internal: Place of destination - Last, Other",D1C_6l,"Internal: Place of destination - Last, Other",,,,
D1C,3,7,,,D1C.3.7,Integer,Year,TRUE,Information about other household members with migratory experience within Bangladesh,"Internal: Year of arrival - Last, Other",D1C_7l,"Internal: Year of arrival - Last, Other",,,,
D1C,3,8,,,D1C.3.8,Quantitative,,TRUE,Information about other household members with migratory experience within Bangladesh,"Internal: Duration of stay - Last, Other",D1C_8l,"Internal: Duration of stay - Last, Other",,,,
D1C,3,9,,,D1C.3.9,Categorical ,,TRUE,Information about other household members with migratory experience within Bangladesh,"Internal: Purpose of trip - Last, Other",D1C_9l,"Internal: Purpose of trip - Last, Other",,"c(""Work/earn money"", ""Fear of wild animals"", ""Fear for safety/ violence"", ""Oppression"", ""River erosion"", ""Cyclone"", ""Flooding"", ""Other"")",c(1:7),
D1C,3,10,,,D1C.3.10,Categorical ,,TRUE,Information about other household members with migratory experience within Bangladesh,"Internal: Main livelihood occupation - Last, Other",D1C_10l,"Internal: Main livelihood occupation - Last, Other",,"c(""Land Owner"", ""Farmer/Fishmonger/Fish Cultivator"", ""Agricultural worker"", ""Fisherman"", ""Poultry/cattle raising"", ""Home based manufacturing (handicrafts, food products)"", ""Rickshaw driver/ Brick breaking/ Road building/Construction worker/boatman/earth work"", ""Domestic servant"", ""Non agricultural worker(factory worker, blue collar service)"", ""Carpenter/massion/bus/taxi driver/construction supervisor/Seamstreses/ tailor/police an/armed services/dai/ community health worker/FWA/similar services"", ""Doctor/lawyer/dentist/accountant/
teacher/nurse/ FWV (family
welfare visitor) /mid & high level
services (Government,
private)/Amanuensis/Clerk"",
""Big businessman"",""Small business/trader"", ""Unemployed/student"", ""Retired"", ""Pensioner"", 
""Homemaker"",  ""Disable/unable to work"", ""Others"", ""Don't know/ not stated"") 
","c(1:19, 9999)",
D1C,3,11,1,,D1C.3.11.1,Quantitative,Taka,TRUE,Information about other household members with migratory experience within Bangladesh,"Internal: Wage (taka) - Last, Other",D1C_11Al,"Internal: Wage (taka) - Last, Other",,,,
D1C,3,11,2,,D1C.3.11.2,Categorical ,,TRUE,Information about other household members with migratory experience within Bangladesh,"Internal: Wage (other wage unit) - Last, Other",D1C_11Bl,"Internal: Wage (other wage unit) - Last, Other",,"c(""Daily"", ""Weekly"", ""Monthly"", ""Yearly"", ""Other"")",c(1:5),
D1C,3,11,3,,D1C.3.11.3,Yes/No,,TRUE,Information about other household members with migratory experience within Bangladesh,"Internal: Other (material) - Last, Other",D1C_11Cl,"Internal: Other (material) - Last, Other",,,,
D1C,2,4,,,D1C.2.4,Integer,,TRUE,Information about other household members with migratory experience within Bangladesh,"Internal: Total number trips - 2nd Last, Other",D1C_4s,"Internal: Total number trips - 2nd Last, Other",,,,
D1C,2,6,,,D1C.2.6,Text,,TRUE,Information about other household members with migratory experience within Bangladesh,"Internal: Place of destination - 2nd Last, Other",D1C_6s,"Internal: Place of destination - 2nd Last, Other",,,,
D1C,2,7,,,D1C.2.7,Integer,Year,TRUE,Information about other household members with migratory experience within Bangladesh,"Internal: Year of arrival - 2nd Last, Other",D1C_7s,"Internal: Year of arrival - 2nd Last, Other",,,,
D1C,2,8,,,D1C.2.8,Quantitative,,TRUE,Information about other household members with migratory experience within Bangladesh,"Internal: Duration of stay - 2nd Last, Other",D1C_8s,"Internal: Duration of stay - 2nd Last, Other",,,,
D1C,2,9,,,D1C.2.9,Categorical ,,TRUE,Information about other household members with migratory experience within Bangladesh,"Internal: Purpose of trip - 2nd Last, Other",D1C_9s,"Internal: Purpose of trip - 2nd Last, Other",,"c(""Work/earn money"", ""Fear of wild animals"", ""Fear for safety/ violence"", ""Oppression"", ""River erosion"", ""Cyclone"", ""Flooding"", ""Other"")",c(1:7),
D1C,2,10,,,D1C.2.10,Categorical ,,TRUE,Information about other household members with migratory experience within Bangladesh,"Internal: Main livelihood occupation - 2nd Last, Other",D1C_10s,"Internal: Main livelihood occupation - 2nd Last, Other",,"c(""Land Owner"", ""Farmer/Fishmonger/Fish Cultivator"", ""Agricultural worker"", ""Fisherman"", ""Poultry/cattle raising"", ""Home based manufacturing (handicrafts, food products)"", ""Rickshaw driver/ Brick breaking/ Road building/Construction worker/boatman/earth work"", ""Domestic servant"", ""Non agricultural worker(factory worker, blue collar service)"", ""Carpenter/massion/bus/taxi driver/construction supervisor/Seamstreses/ tailor/police an/armed services/dai/ community health worker/FWA/similar services"", ""Doctor/lawyer/dentist/accountant/
teacher/nurse/ FWV (family
welfare visitor) /mid & high level
services (Government,
private)/Amanuensis/Clerk"",
""Big businessman"",""Small business/trader"", ""Unemployed/student"", ""Retired"", ""Pensioner"", 
""Homemaker"",  ""Disable/unable to work"", ""Others"", ""Don't know/ not stated"") 
","c(1:19, 9999)",
D1C,2,11,1,,D1C.2.11.1,Quantitative,Taka,TRUE,Information about other household members with migratory experience within Bangladesh,"Internal: Wage (taka) - 2nd Last, Other",D1C_11As,"Internal: Wage (taka) - 2nd Last, Other",,,,
D1C,2,11,2,,D1C.2.11.2,Categorical ,,TRUE,Information about other household members with migratory experience within Bangladesh,"Internal: Wage (other wage unit) - 2nd Last, Other",D1C_11Bs,"Internal: Wage (other wage unit) - 2nd Last, Other",,"c(""Daily"", ""Weekly"", ""Monthly"", ""Yearly"", ""Other"")",c(1:5),
D1C,2,11,3,,D1C.2.11.3,Yes/No,,TRUE,Information about other household members with migratory experience within Bangladesh,"Internal: Other (material) - 2nd Last, Other",D1C_11Cs,"Internal: Other (material) - 2nd Last, Other",,,,
D2,1,4,,,D2.1.4,Integer,,TRUE,Information about household head and spouse with migratory experience to India,"India: Total number trips - First, Head/Spouse",D2_4f,"India: Total number trips - First, Head/Spouse",,,,
D2,1,6,,,D2.1.6,Text,,TRUE,Information about household head and spouse with migratory experience to India,"India: Place of destination - First, Head/Spouse",D2_6f,"India: Place of destination - First, Head/Spouse",,,,
D2,1,7,,,D2.1.7,Integer,Year,TRUE,Information about household head and spouse with migratory experience to India,"India: Year of arrival - First, Head/Spouse",D2_7f,"India: Year of arrival - First, Head/Spouse",,,,
D2,1,8,,,D2.1.8,Quantitative,,TRUE,Information about household head and spouse with migratory experience to India,"India: Duration of stay - First, Head/Spouse",D2_8f,"India: Duration of stay - First, Head/Spouse",,,,
D2,1,9,,,D2.1.9,Categorical ,,TRUE,Information about household head and spouse with migratory experience to India,"India: Purpose of trip - First, Head/Spouse",D2_9f,"India: Purpose of trip - First, Head/Spouse",,"c(""Work/earn money"", ""Fear of wild animals"", ""Fear for safety/ violence"", ""Oppression"", ""River erosion"", ""Cyclone"", ""Flooding"", ""Other"")",c(1:7),
D2,1,10,1,,D2.1.10.1,Categorical ,,TRUE,Information about household head and spouse with migratory experience to India,"India: Documentation: Crossing - First, Head/Spouse",D2_10Af,"India: Documentation: Crossing - First, Head/Spouse",,"c(""Border crossing card"", ""Special passport"", ""International passport"", ""No documents"", ""Other"")",c(1:5),
D2,1,10,2,,D2.1.10.2,Categorical ,,TRUE,Information about household head and spouse with migratory experience to India,"India: Documentation: Visa - First, Head/Spouse",D2_10Bf,"India: Documentation: Visa - First, Head/Spouse",,"c(""Tourist visa"", ""Work visa"", ""Student visa"", ""No visa"", ""other"")",c(1:5),
D2,1,11,,,D2.1.11,Categorical ,,TRUE,Information about household head and spouse with migratory experience to India,"India: Main livelihood occupation - First, Head/Spouse",D2_11f,"India: Main livelihood occupation - First, Head/Spouse",,"c(""Land Owner"", ""Farmer/Fishmonger/Fish Cultivator"", ""Agricultural worker"", ""Fisherman"", ""Poultry/cattle raising"", ""Home based manufacturing (handicrafts, food products)"", ""Rickshaw driver/ Brick breaking/ Road building/Construction worker/boatman/earth work"", ""Domestic servant"", ""Non agricultural worker(factory worker, blue collar service)"", ""Carpenter/massion/bus/taxi driver/construction supervisor/Seamstreses/ tailor/police an/armed services/dai/ community health worker/FWA/similar services"", ""Doctor/lawyer/dentist/accountant/
teacher/nurse/ FWV (family
welfare visitor) /mid & high level
services (Government,
private)/Amanuensis/Clerk"",
""Big businessman"",""Small business/trader"", ""Unemployed/student"", ""Retired"", ""Pensioner"", 
""Homemaker"",  ""Disable/unable to work"", ""Others"", ""Don't know/ not stated"") 
","c(1:19, 9999)",
D2,1,12,1,,D2.1.12.1,Quantitative,Taka,TRUE,Information about household head and spouse with migratory experience to India,"India: Wage (taka) - First, Head/Spouse",D2_12Af,"India: Wage (taka) - First, Head/Spouse",,,,
D2,1,12,2,,D2.1.12.2,Categorical ,,TRUE,Information about household head and spouse with migratory experience to India,"India: Wage (other wage unit) - First, Head/Spouse",D2_12Bf,"India: Wage (other wage unit) - First, Head/Spouse",,"c(""Daily"", ""Weekly"", ""Monthly"", ""Yearly"", ""Other"")",c(1:5),
D2,1,12,3,,D2.1.12.3,Yes/No,,TRUE,Information about household head and spouse with migratory experience to India,"India: Other (material) - First, Head/Spouse",D2_12Cf,"India: Other (material) - First, Head/Spouse",,,,
D2,3,4,,,D2.3.4,Integer,,TRUE,Information about household head and spouse with migratory experience to India,"India: Total number trips - Last, Head/Spouse",D2_4l,"India: Total number trips - Last, Head/Spouse",,,,
D2,3,6,,,D2.3.6,Text,,TRUE,Information about household head and spouse with migratory experience to India,"India: Place of destination - Last, Head/Spouse",D2_6l,"India: Place of destination - Last, Head/Spouse",,,,
D2,3,7,,,D2.3.7,Integer,Year,TRUE,Information about household head and spouse with migratory experience to India,"India: Year of arrival - Last, Head/Spouse",D2_7l,"India: Year of arrival - Last, Head/Spouse",,,,
D2,3,8,,,D2.3.8,Quantitative,,TRUE,Information about household head and spouse with migratory experience to India,"India: Duration of stay - Last, Head/Spouse",D2_8l,"India: Duration of stay - Last, Head/Spouse",,,,
D2,3,9,,,D2.3.9,Categorical ,,TRUE,Information about household head and spouse with migratory experience to India,"India: Purpose of trip - Last, Head/Spouse",D2_9l,"India: Purpose of trip - Last, Head/Spouse",,"c(""Work/earn money"", ""Fear of wild animals"", ""Fear for safety/ violence"", ""Oppression"", ""River erosion"", ""Cyclone"", ""Flooding"", ""Other"")",c(1:7),
D2,3,10,1,,D2.3.10.1,Categorical ,,TRUE,Information about household head and spouse with migratory experience to India,"India: Documentation: Crossing - Last, Head/Spouse",D2_10Al,"India: Documentation: Crossing - Last, Head/Spouse",,"c(""Border crossing card"", ""Special passport"", ""International passport"", ""No documents"", ""Other"")",c(1:5),
D2,3,10,2,,D2.3.10.2,Categorical ,,TRUE,Information about household head and spouse with migratory experience to India,"India: Documentation: Visa - Last, Head/Spouse",D2_10Bl,"India: Documentation: Visa - Last, Head/Spouse",,"c(""Tourist visa"", ""Work visa"", ""Student visa"", ""No visa"", ""other"")",c(1:5),
D2,3,11,,,D2.3.11,Categorical ,,TRUE,Information about household head and spouse with migratory experience to India,"India: Main livelihood occupation - Last, Head/Spouse",D2_11l,"India: Main livelihood occupation - Last, Head/Spouse",,"c(""Land Owner"", ""Farmer/Fishmonger/Fish Cultivator"", ""Agricultural worker"", ""Fisherman"", ""Poultry/cattle raising"", ""Home based manufacturing (handicrafts, food products)"", ""Rickshaw driver/ Brick breaking/ Road building/Construction worker/boatman/earth work"", ""Domestic servant"", ""Non agricultural worker(factory worker, blue collar service)"", ""Carpenter/massion/bus/taxi driver/construction supervisor/Seamstreses/ tailor/police an/armed services/dai/ community health worker/FWA/similar services"", ""Doctor/lawyer/dentist/accountant/
teacher/nurse/ FWV (family
welfare visitor) /mid & high level
services (Government,
private)/Amanuensis/Clerk"",
""Big businessman"",""Small business/trader"", ""Unemployed/student"", ""Retired"", ""Pensioner"", 
""Homemaker"",  ""Disable/unable to work"", ""Others"", ""Don't know/ not stated"") 
","c(1:19, 9999)",
D2,3,12,1,,D2.3.12.1,Quantitative,Taka,TRUE,Information about household head and spouse with migratory experience to India,"India: Wage (taka) - Last, Head/Spouse",D2_12Al,"India: Wage (taka) - Last, Head/Spouse",,,,
D2,3,12,2,,D2.3.12.2,Categorical ,,TRUE,Information about household head and spouse with migratory experience to India,"India: Wage (other wage unit) - Last, Head/Spouse",D2_12Bl,"India: Wage (other wage unit) - Last, Head/Spouse",,"c(""Daily"", ""Weekly"", ""Monthly"", ""Yearly"", ""Other"")",c(1:5),
